A1USC50FXMEUH1,Uabb93UQFYF04_ajAAAu,0.02,1.88,2.2,1.95,1,1,5,5,5,5,4,36,2,United States,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A1VJAKNGJPT0M3,r8m-s0CAqqIjamV1AAA0,0.51,1.86,2.6,2.35,1,5,5,5,5,2,4,46,2,United States,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0,
A1VMLIEXDEIX9Q,XlC7_MUy-8jFXik6AAAH,0.26,1.82,2.3,2.05,1,4,4,5,5,1,3,31,1,United States,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9
A1VOWQJOBWOVKG,gztfDdU0-W8NzpcKAAAK,0.01,0,0.3,0.05,1,4,3,3,4,3,0,33,2,United States,Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A1WOV2JIV5I9VE,lcjY0Szr6WwjJFNuAAAD,0.3,1.87,2.4,2.15,1,4,5,5,5,3,2,20,2,United States,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A1YGNGK7ZO83PX,uFPZah1MQy87SpN6AAAB,0.33,1.8,2.4,2.15,1,4,5,4,5,4,3,42,2,United States,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0,
A243MVNC6OLKBF,N9j9Xreb4Mw0gmDbAAAs,0.03,1.88,2.2,1.95,1,5,3,5,5,4,4,26,2,United States,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0,
A2710NKXMQT3Z7,_D-OkGFAQrup33s3AAAo,0.05,1.89,2.2,1.95,1,1,1,5,5,5,4,21,2,United States,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9
A29RJVVL54THB5,RhC_19ycr7uK_F_UAAA1,0.5,1.94,2.7,2.45,1,4,3,5,,3,2,24,3,United States,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0,
A2CV3L0KMVFLV7,mgexirxBJWQmsCS7AABM,0.75,1.87,2.9,2.65,1,2,1,5,5,1,2,35,2,United States,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A2EA369RYI4L86,EBHiL_TwmvOcqHM-AAA4,0.48,1.88,2.6,2.35,1,5,5,4,5,1,3,32,2,United States,Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A2FLA5FQY89A7G,VyaYyfWhfAxfUpfOAAAe,0.13,1.88,2.3,2.05,1,4,4,5,5,5,4,32,2,United States,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0,
A2G5ZASH1MGQTV,WRrqQypeIO5l7GayAAAN,0.17,0.72,1.1,0.85,1,5,5,5,5,5,4,27,2,United States,Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A2GIYD0TEI3V62,sEmZk_WMdY9dR1GeAABx,0.05,0,0.3,0.05,1,3,3,2,4,3,1,21,2,United States,Mozilla/5.0 (X11; CrOS x86_64 7520.63.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A2HGAQ9WOEU9PN,_i5U84rHSI5kJvuQAABC,0.34,1.9,2.5,2.25,1,2,2,5,5,5,4,24,1,United States,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0,
A2HSCKH5NKN5LP,0b_4vQOYzIz8R7svAAAA,0.35,2.02,2.6,2.35,1,2,2,5,5,1,2,29,1,United States,Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
