ID,waitingBonus,machine,result,latency_ms,performance,condition,expNum,amazonID,room,round,socialFreq0,socialFreq1,socialFreq2,optimalChoice,groupSize,sizeCategory,room_sorted_by_size,Freq_poor,Freq_firstBest,Freq_secondBest,taskDifficulty
6N5aFKgRmHdJP-c5AAAO,0,0,0.0236,84,1,1,2,A2NU7L1HSP7URF,subRoom1_2_50_14,17,1,0,0,0,1,1,subRoom1_2_50_14,0,0,1,50%
YF_6-k4vgbXwKzM0AAAP,0,2,0.0216,84,2,1,2,AKYXQY5IP7S0Z,subRoom1_2_50_15,18,1,0,0,1,1,1,subRoom1_2_50_15,0,0,1,50%
ADyAS-If7tk_Ef2EAAAK,0,2,0.0214,93,2,1,2,AYUREWGFQG5JV,subRoom1_2_50_11,41,0,0,1,0,1,1,subRoom1_2_50_11,0,1,0,50%
2M6GOn4o9ldXioVFAAAN,0,2,0.0277,94,2,1,2,AEWYDJH6TFBCW,subRoom1_2_50_13,31,0,0,1,1,1,1,subRoom1_2_50_13,0,1,0,50%
WOwtm1ZfCRYGE-DCAAAB,0,0,0.027,92,3,1,2,A17J1CE7N49Z9D,subRoom1_2_50_2,63,1,0,0,1,1,1,subRoom1_2_50_2,0,0,1,50%
ZXEKCMq2GbRL72IaAAAD,0,2,0.0175,97,2,1,2,ABMX8XUNPR3LP,subRoom1_2_50_4,56,0,0,1,0,1,1,subRoom1_2_50_4,0,1,0,50%
kLxk1Cx6C_xhaSdIAAAJ,0,2,0.0304,77,2,1,2,AV22FQTJNBUZT,subRoom1_2_50_10,40,0,0,1,1,1,1,subRoom1_2_50_10,0,1,0,50%
OHOyPMz95ph3K9AhAAAF,0,2,0.0345,90,2,1,2,A183WYXN12P2TJ,subRoom1_2_50_6,41,0,0,1,0,1,1,subRoom1_2_50_6,0,1,0,50%
eNt-xQTpyyrn0FiQAAAQ,0,1,0.0213,103,1,1,2,A3941WEC7ZNTWP,subRoom1_2_50_16,12,0,1,0,0,1,1,subRoom1_2_50_16,1,0,0,50%
6LXWQxhWLpMY0bLpAAAI,0,2,0.0244,41,2,1,2,APYVHMR93BEMG,subRoom1_2_50_9,44,0,0,1,0,1,1,subRoom1_2_50_9,0,1,0,50%
4WP7nxsG2tQQnzdaAAAC,0,0,0.0318,94,3,1,2,A9HQ3E0F2AGVO,subRoom1_2_50_3,58,1,0,0,1,1,1,subRoom1_2_50_3,0,0,1,50%
l5AI6ygk9YXGYVYXAAAG,0,2,0.0198,214,2,1,2,A2RDNYV4SH5E89,subRoom1_2_50_7,38,0,1,0,1,1,1,subRoom1_2_50_7,1,0,0,50%
YF_6-k4vgbXwKzM0AAAP,0,1,0.0134,81,1,1,2,AKYXQY5IP7S0Z,subRoom1_2_50_15,19,0,0,1,0,1,1,subRoom1_2_50_15,0,1,0,50%
xfvG-v2hPyFeqPITAAAE,0,2,0.0254,81,2,1,2,A8L450UGY77XB,subRoom1_2_50_5,47,0,0,1,0,1,1,subRoom1_2_50_5,0,1,0,50%
yQPPczCLBIJKGQnpAAAL,0,0,0.0212,102,1,1,2,A26XN1TM6CV01T,subRoom1_2_50_12,29,0,1,0,0,1,1,subRoom1_2_50_12,1,0,0,50%
ADyAS-If7tk_Ef2EAAAK,0,2,0.021,94,2,1,2,AYUREWGFQG5JV,subRoom1_2_50_11,42,0,0,1,0,1,1,subRoom1_2_50_11,0,1,0,50%
2M6GOn4o9ldXioVFAAAN,0,2,0.0146,93,2,1,2,AEWYDJH6TFBCW,subRoom1_2_50_13,32,0,0,1,1,1,1,subRoom1_2_50_13,0,1,0,50%
6N5aFKgRmHdJP-c5AAAO,0,0,0.018,180,1,1,2,A2NU7L1HSP7URF,subRoom1_2_50_14,18,1,0,0,0,1,1,subRoom1_2_50_14,0,0,1,50%
ZXEKCMq2GbRL72IaAAAD,0,2,0.0151,95,2,1,2,ABMX8XUNPR3LP,subRoom1_2_50_4,57,0,0,1,0,1,1,subRoom1_2_50_4,0,1,0,50%
kLxk1Cx6C_xhaSdIAAAJ,0,2,0.0305,77,2,1,2,AV22FQTJNBUZT,subRoom1_2_50_10,41,0,0,1,0,1,1,subRoom1_2_50_10,0,1,0,50%
6LXWQxhWLpMY0bLpAAAI,0,2,0.0199,40,2,1,2,APYVHMR93BEMG,subRoom1_2_50_9,45,0,0,1,0,1,1,subRoom1_2_50_9,0,1,0,50%
4WP7nxsG2tQQnzdaAAAC,0,0,0.0291,97,3,1,2,A9HQ3E0F2AGVO,subRoom1_2_50_3,59,1,0,0,1,1,1,subRoom1_2_50_3,0,0,1,50%
YF_6-k4vgbXwKzM0AAAP,0,2,0.0193,81,2,1,2,AKYXQY5IP7S0Z,subRoom1_2_50_15,20,0,1,0,1,1,1,subRoom1_2_50_15,1,0,0,50%
WOwtm1ZfCRYGE-DCAAAB,0,0,0.0366,94,3,1,2,A17J1CE7N49Z9D,subRoom1_2_50_2,64,1,0,0,1,1,1,subRoom1_2_50_2,0,0,1,50%
OHOyPMz95ph3K9AhAAAF,0,2,0.0329,103,2,1,2,A183WYXN12P2TJ,subRoom1_2_50_6,42,0,0,1,0,1,1,subRoom1_2_50_6,0,1,0,50%
xfvG-v2hPyFeqPITAAAE,0,0,0.0368,86,3,1,2,A8L450UGY77XB,subRoom1_2_50_5,48,0,0,1,1,1,1,subRoom1_2_50_5,0,1,0,50%
yQPPczCLBIJKGQnpAAAL,0,0,0.0114,108,1,1,2,A26XN1TM6CV01T,subRoom1_2_50_12,30,1,0,0,0,1,1,subRoom1_2_50_12,0,0,1,50%
ADyAS-If7tk_Ef2EAAAK,0,2,0.0306,74,2,1,2,AYUREWGFQG5JV,subRoom1_2_50_11,43,0,0,1,0,1,1,subRoom1_2_50_11,0,1,0,50%
l5AI6ygk9YXGYVYXAAAG,0,1,0.0078,212,1,1,2,A2RDNYV4SH5E89,subRoom1_2_50_7,39,0,0,1,0,1,1,subRoom1_2_50_7,0,1,0,50%
2M6GOn4o9ldXioVFAAAN,0,1,0.0204,95,1,1,2,AEWYDJH6TFBCW,subRoom1_2_50_13,33,0,0,1,0,1,1,subRoom1_2_50_13,0,1,0,50%
eNt-xQTpyyrn0FiQAAAQ,0,2,0.024,96,2,1,2,A3941WEC7ZNTWP,subRoom1_2_50_16,13,0,1,0,1,1,1,subRoom1_2_50_16,1,0,0,50%
6N5aFKgRmHdJP-c5AAAO,0,2,0.0249,32,2,1,2,A2NU7L1HSP7URF,subRoom1_2_50_14,19,1,0,0,1,1,1,subRoom1_2_50_14,0,0,1,50%
ZXEKCMq2GbRL72IaAAAD,0,2,0.0134,94,2,1,2,ABMX8XUNPR3LP,subRoom1_2_50_4,58,0,0,1,0,1,1,subRoom1_2_50_4,0,1,0,50%
kLxk1Cx6C_xhaSdIAAAJ,0,2,0.0236,77,2,1,2,AV22FQTJNBUZT,subRoom1_2_50_10,42,0,0,1,0,1,1,subRoom1_2_50_10,0,1,0,50%
6LXWQxhWLpMY0bLpAAAI,0,2,0.0276,41,2,1,2,APYVHMR93BEMG,subRoom1_2_50_9,46,0,0,1,0,1,1,subRoom1_2_50_9,0,1,0,50%
4WP7nxsG2tQQnzdaAAAC,0,0,0.0294,113,3,1,2,A9HQ3E0F2AGVO,subRoom1_2_50_3,60,1,0,0,1,1,1,subRoom1_2_50_3,0,0,1,50%
YF_6-k4vgbXwKzM0AAAP,0,2,0.0166,81,2,1,2,AKYXQY5IP7S0Z,subRoom1_2_50_15,21,0,0,1,1,1,1,subRoom1_2_50_15,0,1,0,50%
OHOyPMz95ph3K9AhAAAF,0,2,0.0182,110,2,1,2,A183WYXN12P2TJ,subRoom1_2_50_6,43,0,0,1,0,1,1,subRoom1_2_50_6,0,1,0,50%
xfvG-v2hPyFeqPITAAAE,0,0,0.0218,83,3,1,2,A8L450UGY77XB,subRoom1_2_50_5,49,1,0,0,1,1,1,subRoom1_2_50_5,0,0,1,50%
ADyAS-If7tk_Ef2EAAAK,0,2,0.0262,90,2,1,2,AYUREWGFQG5JV,subRoom1_2_50_11,44,0,0,1,0,1,1,subRoom1_2_50_11,0,1,0,50%
BAWKiKvlC_zuGHs0AAAR,0,1,0.0122,91,1,1,2,A5T9IFDZ3W4T6,subRoom1_2_50_17,1,0,0,0,0,0,1,subRoom1_2_50_17,0,0,0,50%
2M6GOn4o9ldXioVFAAAN,0,1,0.0131,93,1,1,2,AEWYDJH6TFBCW,subRoom1_2_50_13,34,0,1,0,0,1,1,subRoom1_2_50_13,1,0,0,50%
ZXEKCMq2GbRL72IaAAAD,0,2,0.0206,95,2,1,2,ABMX8XUNPR3LP,subRoom1_2_50_4,59,0,0,1,0,1,1,subRoom1_2_50_4,0,1,0,50%
6LXWQxhWLpMY0bLpAAAI,0,2,0.0159,38,2,1,2,APYVHMR93BEMG,subRoom1_2_50_9,47,0,0,1,0,1,1,subRoom1_2_50_9,0,1,0,50%
YF_6-k4vgbXwKzM0AAAP,0,2,0.0196,83,2,1,2,AKYXQY5IP7S0Z,subRoom1_2_50_15,22,0,0,1,1,1,1,subRoom1_2_50_15,0,1,0,50%
kLxk1Cx6C_xhaSdIAAAJ,0,2,0.0171,77,2,1,2,AV22FQTJNBUZT,subRoom1_2_50_10,43,0,0,1,0,1,1,subRoom1_2_50_10,0,1,0,50%
6N5aFKgRmHdJP-c5AAAO,0,2,0.0235,69,2,1,2,A2NU7L1HSP7URF,subRoom1_2_50_14,20,0,0,1,1,1,1,subRoom1_2_50_14,0,1,0,50%
4WP7nxsG2tQQnzdaAAAC,0,0,0.032,111,3,1,2,A9HQ3E0F2AGVO,subRoom1_2_50_3,61,1,0,0,1,1,1,subRoom1_2_50_3,0,0,1,50%
l5AI6ygk9YXGYVYXAAAG,0,1,0.0136,184,1,1,2,A2RDNYV4SH5E89,subRoom1_2_50_7,40,0,1,0,0,1,1,subRoom1_2_50_7,1,0,0,50%
OHOyPMz95ph3K9AhAAAF,0,2,0.0293,139,2,1,2,A183WYXN12P2TJ,subRoom1_2_50_6,44,0,0,1,0,1,1,subRoom1_2_50_6,0,1,0,50%
WOwtm1ZfCRYGE-DCAAAB,0,0,0.0375,192,3,1,2,A17J1CE7N49Z9D,subRoom1_2_50_2,65,1,0,0,1,1,1,subRoom1_2_50_2,0,0,1,50%
xfvG-v2hPyFeqPITAAAE,0,0,0.0345,94,3,1,2,A8L450UGY77XB,subRoom1_2_50_5,50,1,0,0,1,1,1,subRoom1_2_50_5,0,0,1,50%
yQPPczCLBIJKGQnpAAAL,0,0,0.0202,106,1,1,2,A26XN1TM6CV01T,subRoom1_2_50_12,31,1,0,0,0,1,1,subRoom1_2_50_12,0,0,1,50%
eNt-xQTpyyrn0FiQAAAQ,0,1,0.0127,100,1,1,2,A3941WEC7ZNTWP,subRoom1_2_50_16,14,0,0,1,0,1,1,subRoom1_2_50_16,0,1,0,50%
ADyAS-If7tk_Ef2EAAAK,0,2,0.0304,148,2,1,2,AYUREWGFQG5JV,subRoom1_2_50_11,45,0,0,1,0,1,1,subRoom1_2_50_11,0,1,0,50%
2M6GOn4o9ldXioVFAAAN,0,2,0.0197,94,2,1,2,AEWYDJH6TFBCW,subRoom1_2_50_13,35,0,1,0,1,1,1,subRoom1_2_50_13,1,0,0,50%
6LXWQxhWLpMY0bLpAAAI,0,2,0.0195,40,2,1,2,APYVHMR93BEMG,subRoom1_2_50_9,48,0,0,1,0,1,1,subRoom1_2_50_9,0,1,0,50%
YF_6-k4vgbXwKzM0AAAP,0,2,0.0235,84,2,1,2,AKYXQY5IP7S0Z,subRoom1_2_50_15,23,0,0,1,1,1,1,subRoom1_2_50_15,0,1,0,50%
BAWKiKvlC_zuGHs0AAAR,0,1,0.0028,91,1,1,2,A5T9IFDZ3W4T6,subRoom1_2_50_17,2,0,1,0,0,1,1,subRoom1_2_50_17,1,0,0,50%
4WP7nxsG2tQQnzdaAAAC,0,0,0.0323,95,3,1,2,A9HQ3E0F2AGVO,subRoom1_2_50_3,62,1,0,0,1,1,1,subRoom1_2_50_3,0,0,1,50%
ZXEKCMq2GbRL72IaAAAD,0,2,0.0141,94,2,1,2,ABMX8XUNPR3LP,subRoom1_2_50_4,60,0,0,1,0,1,1,subRoom1_2_50_4,0,1,0,50%
kLxk1Cx6C_xhaSdIAAAJ,0,2,0.0236,82,2,1,2,AV22FQTJNBUZT,subRoom1_2_50_10,44,0,0,1,0,1,1,subRoom1_2_50_10,0,1,0,50%
OHOyPMz95ph3K9AhAAAF,0,2,0.0249,152,2,1,2,A183WYXN12P2TJ,subRoom1_2_50_6,45,0,0,1,0,1,1,subRoom1_2_50_6,0,1,0,50%
6N5aFKgRmHdJP-c5AAAO,0,2,0.0238,124,2,1,2,A2NU7L1HSP7URF,subRoom1_2_50_14,21,0,0,1,1,1,1,subRoom1_2_50_14,0,1,0,50%
xfvG-v2hPyFeqPITAAAE,0,0,0.0323,100,3,1,2,A8L450UGY77XB,subRoom1_2_50_5,51,1,0,0,1,1,1,subRoom1_2_50_5,0,0,1,50%
ADyAS-If7tk_Ef2EAAAK,0,2,0.0115,109,2,1,2,AYUREWGFQG5JV,subRoom1_2_50_11,46,0,0,1,0,1,1,subRoom1_2_50_11,0,1,0,50%
eNt-xQTpyyrn0FiQAAAQ,0,0,0.0165,101,1,1,2,A3941WEC7ZNTWP,subRoom1_2_50_16,15,0,1,0,0,1,1,subRoom1_2_50_16,1,0,0,50%
l5AI6ygk9YXGYVYXAAAG,0,2,0.0331,224,2,1,2,A2RDNYV4SH5E89,subRoom1_2_50_7,41,0,1,0,0,1,1,subRoom1_2_50_7,1,0,0,50%
2M6GOn4o9ldXioVFAAAN,0,2,0.0242,94,2,1,2,AEWYDJH6TFBCW,subRoom1_2_50_13,36,0,0,1,1,1,1,subRoom1_2_50_13,0,1,0,50%
YF_6-k4vgbXwKzM0AAAP,0,2,0.0208,81,2,1,2,AKYXQY5IP7S0Z,subRoom1_2_50_15,24,0,0,1,1,1,1,subRoom1_2_50_15,0,1,0,50%
WOwtm1ZfCRYGE-DCAAAB,0,0,0.0262,88,3,1,2,A17J1CE7N49Z9D,subRoom1_2_50_2,66,1,0,0,1,1,1,subRoom1_2_50_2,0,0,1,50%
6LXWQxhWLpMY0bLpAAAI,0,2,0.0217,38,2,1,2,APYVHMR93BEMG,subRoom1_2_50_9,49,0,0,1,0,1,1,subRoom1_2_50_9,0,1,0,50%
kLxk1Cx6C_xhaSdIAAAJ,0,2,0.03,83,2,1,2,AV22FQTJNBUZT,subRoom1_2_50_10,45,0,0,1,0,1,1,subRoom1_2_50_10,0,1,0,50%
4WP7nxsG2tQQnzdaAAAC,0,0,0.0396,93,3,1,2,A9HQ3E0F2AGVO,subRoom1_2_50_3,63,1,0,0,1,1,1,subRoom1_2_50_3,0,0,1,50%
ZXEKCMq2GbRL72IaAAAD,0,2,0.0219,92,2,1,2,ABMX8XUNPR3LP,subRoom1_2_50_4,61,0,0,1,0,1,1,subRoom1_2_50_4,0,1,0,50%
BAWKiKvlC_zuGHs0AAAR,0,0,0.0187,94,1,1,2,A5T9IFDZ3W4T6,subRoom1_2_50_17,3,0,1,0,0,1,1,subRoom1_2_50_17,1,0,0,50%
6N5aFKgRmHdJP-c5AAAO,0,2,0.0175,32,2,1,2,A2NU7L1HSP7URF,subRoom1_2_50_14,22,0,0,1,1,1,1,subRoom1_2_50_14,0,1,0,50%
OHOyPMz95ph3K9AhAAAF,0,2,0.025,105,2,1,2,A183WYXN12P2TJ,subRoom1_2_50_6,46,0,0,1,0,1,1,subRoom1_2_50_6,0,1,0,50%
xfvG-v2hPyFeqPITAAAE,0,0,0.0274,86,3,1,2,A8L450UGY77XB,subRoom1_2_50_5,52,1,0,0,1,1,1,subRoom1_2_50_5,0,0,1,50%
ADyAS-If7tk_Ef2EAAAK,0,2,0.0315,76,2,1,2,AYUREWGFQG5JV,subRoom1_2_50_11,47,0,0,1,0,1,1,subRoom1_2_50_11,0,1,0,50%
YF_6-k4vgbXwKzM0AAAP,0,1,0.0152,81,1,1,2,AKYXQY5IP7S0Z,subRoom1_2_50_15,25,0,0,1,0,1,1,subRoom1_2_50_15,0,1,0,50%
2M6GOn4o9ldXioVFAAAN,0,2,0.0254,92,2,1,2,AEWYDJH6TFBCW,subRoom1_2_50_13,37,0,0,1,1,1,1,subRoom1_2_50_13,0,1,0,50%
WOwtm1ZfCRYGE-DCAAAB,0,0,0.0306,88,3,1,2,A17J1CE7N49Z9D,subRoom1_2_50_2,67,1,0,0,1,1,1,subRoom1_2_50_2,0,0,1,50%
6LXWQxhWLpMY0bLpAAAI,0,2,0.0234,36,2,1,2,APYVHMR93BEMG,subRoom1_2_50_9,50,0,0,1,0,1,1,subRoom1_2_50_9,0,1,0,50%
4WP7nxsG2tQQnzdaAAAC,0,0,0.0354,108,3,1,2,A9HQ3E0F2AGVO,subRoom1_2_50_3,64,1,0,0,1,1,1,subRoom1_2_50_3,0,0,1,50%
eNt-xQTpyyrn0FiQAAAQ,0,1,0.0092,100,1,1,2,A3941WEC7ZNTWP,subRoom1_2_50_16,16,1,0,0,0,1,1,subRoom1_2_50_16,0,0,1,50%
yQPPczCLBIJKGQnpAAAL,0,0,0.0176,107,1,1,2,A26XN1TM6CV01T,subRoom1_2_50_12,32,1,0,0,0,1,1,subRoom1_2_50_12,0,0,1,50%
kLxk1Cx6C_xhaSdIAAAJ,0,2,0.0192,77,2,1,2,AV22FQTJNBUZT,subRoom1_2_50_10,46,0,0,1,0,1,1,subRoom1_2_50_10,0,1,0,50%
l5AI6ygk9YXGYVYXAAAG,0,2,0.027,230,2,1,2,A2RDNYV4SH5E89,subRoom1_2_50_7,42,0,0,1,0,1,1,subRoom1_2_50_7,0,1,0,50%
ZXEKCMq2GbRL72IaAAAD,0,2,0.0173,93,2,1,2,ABMX8XUNPR3LP,subRoom1_2_50_4,62,0,0,1,0,1,1,subRoom1_2_50_4,0,1,0,50%
OHOyPMz95ph3K9AhAAAF,0,2,0.0244,89,2,1,2,A183WYXN12P2TJ,subRoom1_2_50_6,47,0,0,1,0,1,1,subRoom1_2_50_6,0,1,0,50%
xfvG-v2hPyFeqPITAAAE,0,0,0.0342,90,3,1,2,A8L450UGY77XB,subRoom1_2_50_5,53,1,0,0,1,1,1,subRoom1_2_50_5,0,0,1,50%
BAWKiKvlC_zuGHs0AAAR,0,2,0.0315,97,2,1,2,A5T9IFDZ3W4T6,subRoom1_2_50_17,4,1,0,0,1,1,1,subRoom1_2_50_17,0,0,1,50%
