condition,environment,groupID,subjectID,groupSize,averagePerformance,optimalChoiceRate,optimalChoiceCount,totalRoundNum,taskDifficulty,groupSize_standerized,groupSize_centralized,groupSize_standerized2,groupSize_centralized2,choiceCount_poor,choiceCount_good1,choiceCount_good2,average_entropy,average_gini
5,environment 1,subRoom5_11_3,AFTX47T07GSFQ,4,1.175,0.175,7,40,78%,-1.14735315741258,-9.06531531531532,-0.822381326356448,-6.42119205298013,14,7,19,0.648481923482181,0.341880341880342
5,environment 2,subRoom5_11_3,AFTX47T07GSFQ,4,2.56666666666667,0.7,21,30,78%,-1.14735315741258,-9.06531531531532,-0.822381326356448,-6.42119205298013,4,5,21,0.600363638571471,0.394444444444444
5,e1+e2,subRoom5_11_3,AFTX47T07GSFQ,4,1.77142857142857,0.4,28,70,78%,-1.14735315741258,-9.06531531531532,-0.822381326356448,-6.42119205298013,18,12,40,0.627859801377591,0.364734299516908
5,environment 1,subRoom5_11_3,AZWNKDPOHO240,4,1.475,0.475,19,40,78%,-1.14735315741258,-9.06531531531532,-0.822381326356448,-6.42119205298013,6,19,15,0.648481923482181,0.341880341880342
5,environment 2,subRoom5_11_3,AZWNKDPOHO240,4,2.26666666666667,0.466666666666667,14,30,78%,-1.14735315741258,-9.06531531531532,-0.822381326356448,-6.42119205298013,6,10,14,0.600363638571471,0.394444444444444
5,e1+e2,subRoom5_11_3,AZWNKDPOHO240,4,1.81428571428571,0.471428571428571,33,70,78%,-1.14735315741258,-9.06531531531532,-0.822381326356448,-6.42119205298013,12,29,29,0.627859801377591,0.364734299516908
5,environment 1,subRoom5_11_5,ADORQ9L093MIA,1,1.525,0.525,21,40,78%,-1.52704866192775,-12.0653153153153,-1.20660032474699,-9.42119205298013,11,21,8,0,0.666666666666667
5,environment 2,subRoom5_11_5,ADORQ9L093MIA,1,1.96666666666667,0.166666666666667,5,30,78%,-1.52704866192775,-12.0653153153153,-1.20660032474699,-9.42119205298013,6,19,5,0,0.666666666666667
5,e1+e2,subRoom5_11_5,ADORQ9L093MIA,1,1.71428571428571,0.371428571428571,26,70,78%,-1.52704866192775,-12.0653153153153,-1.20660032474699,-9.42119205298013,17,40,13,0,0.666666666666667
5,environment 1,subRoom5_11_6,A22T69YW4WUANF,2,1.79487179487179,0.794871794871795,31,39,78%,-1.40048349375603,-11.0653153153153,-1.07852732528348,-8.42119205298013,5,31,3,0.404442149725293,0.452991452991453
